,Tickers
767,MONYL.XC
768,ISRG
769,ASCL.L
770,HMSOL.XC
771,IDEXF
772,MTOL.XC
773,HON
774,0AI4.IL
775,IDEXY
776,INDUAS.XC
777,UBER
778,MTO.L
779,DWLL.XC
780,ASCLL.XC
781,DWL.L
782,0M5M.L
783,0A22.IL
784,SNYNF
785,KNOSL.XC
786,VSVS.L
787,EADSF
788,KNOS.L
789,HMSO.L
790,VSVSL.XC
791,CHDRY
792,SMS.L
793,OXIGL.XC
794,AJB.L
795,SNY
796,AJBL.XC
797,0BOE.L
798,OXIG.L
799,EADSY
800,0R3E.L
801,JTCL.XC
802,BA
803,JTC.L
804,GMABC.XC
805,COP
806,ZEG.L
807,SIED.XC
808,BNKRL.XC
809,0NPL.IL
810,0QWI.IL
811,PHPL.XC
812,PHP.L
813,BNKR.L
814,SEPLL.XC
815,0FMN.IL
816,ZEGL.XC
817,DTEGY
818,WFC-PC
819,LOW
820,BUDFF
821,CHDRF
822,0QZP.L
823,SEPL.L
824,0R2N.IL
825,0JT5.L
826,ATT.L
827,0QZZ.L
828,DTEGF
829,ATTL.XC
830,BUD
831,0O59.IL
832,0R2P.L
833,UT8D.XC
834,0KVV.IL
835,WGL.XC
836,SONY
837,RTX
838,VCTL.XC
839,BKNG
840,BOYL.XC
841,WG.L
842,PFD.L
843,PFDL.XC
844,BOY.L
845,0HG8.L
846,AEC1D.XC
847,ITXE.XC
848,KWS.L
849,NHYO.XC
850,BREEL.XC
851,BREE.L
852,0QZA.L
853,0RJI.IL
854,0HKP.L
855,TEPL.XC
856,SNEJF
857,T
858,TEP.L
859,PLD
860,SYK
861,SANP.XC
862,BCOD.XC
863,CVSG.L
864,0R2S.L
865,UL
866,0Y6X.L
867,VEILL.XC
868,NEE
869,VEIL.L
870,SRE.L
871,SREL.XC
872,TELIAS.XC
873,SCHW
874,CDIP.XC
875,0MPH.IL
876,COA.L
877,JMGL.XC
878,JMG.L
879,UNLYF
880,COAL.XC
881,DTED.XC
882,FEVR.L
883,MDT
884,ASL.L
885,ASLL.XC
886,VRTX
887,0KCK.IL
888,GAMA.L
889,0LCE.L
890,0QZU.L
891,0JOQ.IL
892,GOSD.XC
893,5URD.XC
894,NPPXF
895,ABIB.XC
896,0NWV.IL
897,FGPL.XC
898,BCG.L
899,TD
900,FGP.L
901,ELV
902,KYCCF
903,SOBAD.XC
904,CGTL.XC
905,CGT.L
906,CKN.L
907,HRI.L
908,AIRP.XC
909,CKNL.XC
910,BCGL.XC
911,LRCX
912,SBGSY
913,RIO
914,SBGSF
915,0VQD.L
916,NTTYY
917,RTPPF
918,PANW
919,IEM.L
920,0KYY.L
921,BLQAD.XC
922,TJX
923,0R1F.IL
924,DE
925,CEY.L
926,EDIN.L
927,CEYL.XC
928,JDWL.XC
929,EDINL.XC
930,JDW.L
931,ALIZY
932,0OAW.IL
933,0MTD.IL
934,MUFG
935,SBUX
936,0H6X.IL
937,0R0G.L
938,LOMD.XC
939,0R2M.L
940,MGNSL.XC
941,MGNS.L
942,MBFJF
943,0Y3K.L
944,0M6S.IL
945,0HJI.L
946,GPEL.XC
947,SUPRL.XC
948,GPE.L
949,SHOP
950,VX1D.XC
951,SUPR.L
952,AGT.L
953,REGN
954,RICA.L
955,0JYA.L
956,RICAL.XC
957,AGTL.XC
